Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
routines,org.apache.commons.validator.routines,InetAddressValidator,isValidInet6Address,Magic Number,The method contains a magic number: 2,120
routines,org.apache.commons.validator.routines,ISINValidator,isValid,Magic Number,The method contains a magic number: 2,454
routines,org.apache.commons.validator.routines,ISINValidator,validate,Magic Number,The method contains a magic number: 2,470
routines,org.apache.commons.validator.routines,ISSNValidator,extractFromEAN13,Magic Number,The method contains a magic number: 3,128
routines,org.apache.commons.validator.routines,ISSNValidator,extractFromEAN13,Magic Number,The method contains a magic number: 10,128
routines,org.apache.commons.validator.routines,UrlValidator,isValid,Complex Conditional,The conditional expression "file".equals(scheme) && authority != null && authority.contains(":") is complex.,348
routines,org.apache.commons.validator.routines,UrlValidator,isValid,Complex Method,Cyclomatic complexity of the method is 9,348
routines,org.apache.commons.validator.routines,UrlValidator,isValidAuthority,Complex Method,Cyclomatic complexity of the method is 11,403
routines,org.apache.commons.validator.routines.checkdigit,ABANumberCheckDigit,weightedValue,Magic Number,The method contains a magic number: 3,62
routines,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,toInt,Long Statement,The length of the statement "throw new CheckDigitException("Invalid Character[" + leftPos + "`"+ rightPos+ "] = '"+ charValue+ "' out of range 0 to "+ charMax);" is 131.,57
routines,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,toInt,Magic Number,The method contains a magic number: 9,57
routines,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,toInt,Magic Number,The method contains a magic number: 35,57
routines,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,weightedValue,Magic Number,The method contains a magic number: 2,79
routines,org.apache.commons.validator.routines.checkdigit,EAN13CheckDigit,weightedValue,Magic Number,The method contains a magic number: 2,58
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,calculate,Magic Number,The method contains a magic number: 2,63
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,calculate,Magic Number,The method contains a magic number: 4,63
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,calculate,Magic Number,The method contains a magic number: 98,63
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,calculate,Magic Number,The method contains a magic number: 9,63
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,calculateModulus,Magic Number,The method contains a magic number: 4,86
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,calculateModulus,Magic Number,The method contains a magic number: 4,86
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,calculateModulus,Magic Number,The method contains a magic number: 9,86
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,calculateModulus,Magic Number,The method contains a magic number: 100,86
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,calculateModulus,Magic Number,The method contains a magic number: 10,86
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,isValid,Complex Conditional,The conditional expression "00".equals(check) || "01".equals(check) || "99".equals(check) is complex.,110
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,isValid,Magic Number,The method contains a magic number: 2,110
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,isValid,Magic Number,The method contains a magic number: 4,110
routines,org.apache.commons.validator.routines.checkdigit,ISBN10CheckDigit,toCheckDigit,Magic Number,The method contains a magic number: 10,58
routines,org.apache.commons.validator.routines.checkdigit,ISBN10CheckDigit,toInt,Magic Number,The method contains a magic number: 10,76
routines,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,calculate,Magic Number,The method contains a magic number: 9,51
routines,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,calculate,Magic Number,The method contains a magic number: 12,51
routines,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,isValid,Magic Number,The method contains a magic number: 10,81
routines,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,isValid,Magic Number,The method contains a magic number: 13,81
routines,org.apache.commons.validator.routines.checkdigit,ISINCheckDigit,calculateModulus,Magic Number,The method contains a magic number: 2,59
routines,org.apache.commons.validator.routines.checkdigit,ISINCheckDigit,weightedValue,Magic Number,The method contains a magic number: 2,89
routines,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,toCheckDigit,Magic Number,The method contains a magic number: 10,63
routines,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,toInt,Magic Number,The method contains a magic number: 10,71
routines,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,weightedValue,Magic Number,The method contains a magic number: 9,80
routines,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,weightedValue,Magic Number,The method contains a magic number: 2,55
routines,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,weightedValue,Magic Number,The method contains a magic number: 9,55
routines,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,weightedValue,Magic Number,The method contains a magic number: 9,55
routines,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,sumDigits,Magic Number,The method contains a magic number: 10,41
routines,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,sumDigits,Magic Number,The method contains a magic number: 10,41
routines,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,toCheckDigit,Magic Number,The method contains a magic number: 9,149
routines,org.apache.commons.validator.routines.checkdigit,ModulusTenCheckDigit,toString,Long Statement,The length of the statement "return getClass().getSimpleName() + "[postitionWeight=" + Arrays.toString(postitionWeight)+ "` useRightPos="+ useRightPos+ "` sumWeightedDigits="+ sumWeightedDigits+ "]";" is 170.,219
routines,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,toInt,Long Statement,The length of the statement "throw new CheckDigitException("Invalid Character[" + leftPos + "`"+ rightPos+ "] = '"+ charValue+ "' out of range 0 to "+ charMax);" is 131.,76
routines,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,toInt,Magic Number,The method contains a magic number: 9,76
routines,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,calculateChecksum,Magic Number,The method contains a magic number: 9,86
routines,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,calculateChecksum,Magic Number,The method contains a magic number: 8,86
