Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-validator,org.apache.commons.validator,EntityImportTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.ValidatorResources
commons-validator,org.apache.commons.validator,ExceptionTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,ExtensionTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator; org.apache.commons.validator.ValidatorResources
commons-validator,org.apache.commons.validator,ExtensionTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
commons-validator,org.apache.commons.validator,ExtensionTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideRule) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Field.getArg; org.apache.commons.validator.Arg.getKey
commons-validator,org.apache.commons.validator,FieldTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Field; org.apache.commons.validator.Arg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultOnePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultOnePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultOnePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultPositionImplied) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultPositionImplied) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultPositionImplied) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultSomePositions) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultSomePositions) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultSomePositions) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultSomePositions) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultUsingPositions) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultUsingPositions) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testDefaultUsingPositions) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverridePositionImplied) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverridePositionImplied) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverridePositionImplied) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverridePositionImplied) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverridePositionImplied) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverridePositionImplied) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Field.getArg; org.apache.commons.validator.Arg.getKey
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Field.getArg; org.apache.commons.validator.Arg.getKey
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Field.getArg; org.apache.commons.validator.Arg.getKey
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideSomePosition) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Field.getArg; org.apache.commons.validator.Arg.getKey
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionA) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionA) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionA) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Field.getArg; org.apache.commons.validator.Arg.getKey
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionB) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionB) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionB) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionB) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionB) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionB) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,FieldTest,Law of Demeter violation,The tool detected the smell in this method (testOverrideUsingPositionB) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Arg.getKey; org.apache.commons.validator.Field.getArg
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,ISBNValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.ISBNValidator
commons-validator,org.apache.commons.validator,LocaleTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,MultipleConfigFilesTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator; org.apache.commons.validator.ValidatorResources
commons-validator,org.apache.commons.validator,MultipleConfigFilesTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
commons-validator,org.apache.commons.validator,MultipleTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,ParameterTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,RequiredIfTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,RequiredNameTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,RetrieveFormTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.ValidatorResources
commons-validator,org.apache.commons.validator,UrlTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.UrlValidator
commons-validator,org.apache.commons.validator,ValidatorResultsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,ValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Field; org.apache.commons.validator.Validator; org.apache.commons.validator.FormSet; org.apache.commons.validator.ValidatorResources; org.apache.commons.validator.ValidatorAction; org.apache.commons.validator.Form
commons-validator,org.apache.commons.validator,ValidatorTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
commons-validator,org.apache.commons.validator,ValidatorTest.TestBean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-validator,org.apache.commons.validator.routines,CodeValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.RegexValidator
commons-validator,org.apache.commons.validator.routines,CreditCardValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CodeValidator
commons-validator,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-validator,org.apache.commons.validator.routines,DomainValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.RegexValidator
commons-validator,org.apache.commons.validator.routines,DomainValidator.Item,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-validator,org.apache.commons.validator.routines,IBANValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.RegexValidator
commons-validator,org.apache.commons.validator.routines,IBANValidator.Validator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-validator,org.apache.commons.validator.routines,InetAddressValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.RegexValidator
commons-validator,org.apache.commons.validator.routines,ISBNValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CodeValidator
commons-validator,org.apache.commons.validator.routines,ISBNValidator,Law of Demeter violation,The tool detected the smell in this method (convertToISBN13) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.CodeValidator.getCheckDigit; org.apache.commons.validator.routines.checkdigit.CheckDigit.calculate
commons-validator,org.apache.commons.validator.routines,ISINValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CodeValidator
commons-validator,org.apache.commons.validator.routines,ISSNValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CodeValidator
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.BigDecimalValidator
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.BigDecimalValidator.validate
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.BigDecimalValidator.validate
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.BigDecimalValidator.validate
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.BigDecimalValidator.validate
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.BigDecimalValidator.validate
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.BigDecimalValidator.validate
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigDecimalValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigDecimalValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigIntegerValidator.validate; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigIntegerValidator.validate; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigIntegerValidator.validate; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.isValid; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigIntegerValidator.validate; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigIntegerValidator.validate; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.BigIntegerValidator.validate; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
