Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
commons-validator,org.apache.commons.validator,Field,validateForRule,Long Parameter List,The method has 5 parameters. ,904
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatByte,Complex Conditional,The conditional expression pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Byte.MIN_VALUE && num.doubleValue() <= Byte.MAX_VALUE is complex.,60
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatByte,Long Statement,The length of the statement "if (pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Byte.MIN_VALUE && num.doubleValue() <= Byte.MAX_VALUE) {" is 146.,60
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatDate,Complex Conditional,The conditional expression value == null || datePattern == null || datePattern.isEmpty() is complex.,166
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatDouble,Complex Conditional,The conditional expression pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Double.MAX_VALUE * -1 && num.doubleValue() <= Double.MAX_VALUE is complex.,231
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatDouble,Long Statement,The length of the statement "if (pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Double.MAX_VALUE * -1 && num.doubleValue() <= Double.MAX_VALUE) {" is 155.,231
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatFloat,Complex Conditional,The conditional expression pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Float.MAX_VALUE * -1 && num.doubleValue() <= Float.MAX_VALUE is complex.,282
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatFloat,Long Statement,The length of the statement "if (pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Float.MAX_VALUE * -1 && num.doubleValue() <= Float.MAX_VALUE) {" is 153.,282
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatInt,Complex Conditional,The conditional expression pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Integer.MIN_VALUE && num.doubleValue() <= Integer.MAX_VALUE is complex.,333
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatInt,Long Statement,The length of the statement "if (pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Integer.MIN_VALUE && num.doubleValue() <= Integer.MAX_VALUE) {" is 152.,333
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatLong,Complex Conditional,The conditional expression pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Long.MIN_VALUE && num.doubleValue() <= Long.MAX_VALUE is complex.,385
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatLong,Long Statement,The length of the statement "if (pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Long.MIN_VALUE && num.doubleValue() <= Long.MAX_VALUE) {" is 146.,385
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatShort,Complex Conditional,The conditional expression pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Short.MIN_VALUE && num.doubleValue() <= Short.MAX_VALUE is complex.,437
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatShort,Long Statement,The length of the statement "if (pos.getErrorIndex() == -1 && pos.getIndex() == value.length() && num.doubleValue() >= Short.MIN_VALUE && num.doubleValue() <= Short.MAX_VALUE) {" is 148.,437
commons-validator,org.apache.commons.validator,UrlValidator,isValid,Complex Method,Cyclomatic complexity of the method is 9,254
commons-validator,org.apache.commons.validator,UrlValidator,isValidAuthority,Complex Method,Cyclomatic complexity of the method is 15,298
commons-validator,org.apache.commons.validator,UrlValidator,isValidAuthority,Magic Number,The method contains a magic number: 2,298
commons-validator,org.apache.commons.validator,UrlValidator,isValidAuthority,Magic Number,The method contains a magic number: 4,298
commons-validator,org.apache.commons.validator,UrlValidator,isValidAuthority,Magic Number,The method contains a magic number: 2,298
commons-validator,org.apache.commons.validator,ValidatorAction,executeValidationMethod,Complex Conditional,The conditional expression !valid || valid && !onlyReturnErrors(params) is complex.,137
commons-validator,org.apache.commons.validator,ValidatorAction,executeValidationMethod,Complex Method,Cyclomatic complexity of the method is 8,137
commons-validator,org.apache.commons.validator,ValidatorResources,getForm,Complex Method,Cyclomatic complexity of the method is 13,398
commons-validator,org.apache.commons.validator,ValidatorResources,initDigester,Magic Number,The method contains a magic number: 2,562
commons-validator,org.apache.commons.validator,AbstractNumberTest,valueTest,Long Statement,The length of the statement "assertTrue(result.containsAction(action)`() -> action + " value ValidatorResult should contain the '" + action+ "' action.");" is 125.,78
commons-validator,org.apache.commons.validator,AbstractNumberTest,valueTest,Long Statement,The length of the statement "assertTrue(passed ? result.isValid(action) : !result.isValid(action)`() -> action + " value ValidatorResult for the '" + action+ "' action should have "+ (passed ? "passed" : "failed")+ ".");" is 191.,78
commons-validator,org.apache.commons.validator,CustomValidatorResourcesTest,testCustomResources,Empty catch clause,The method has an empty catch block.,46
commons-validator,org.apache.commons.validator,DateTest,valueTest,Long Statement,The length of the statement "assertTrue(result.containsAction(ACTION)`() -> ACTION + " value ValidatorResult should contain the '" + ACTION+ "' action.");" is 125.,75
commons-validator,org.apache.commons.validator,DateTest,valueTest,Long Statement,The length of the statement "assertTrue(passed ? result.isValid(ACTION) : !result.isValid(ACTION)`() -> ACTION + " value ValidatorResult for the '" + ACTION+ "' action should have "+ (passed ? "passed" : "failed")+ ".");" is 191.,75
commons-validator,org.apache.commons.validator,EmailTest,testEmailAtTLD,Long Statement,The length of the statement "final org.apache.commons.validator.routines.EmailValidator validator=org.apache.commons.validator.routines.EmailValidator.getInstance(true`true);" is 145.,107
commons-validator,org.apache.commons.validator,EmailTest,testEmailWithControlChars,Magic Number,The method contains a magic number: 32,302
commons-validator,org.apache.commons.validator,EmailTest,testEmailWithControlChars,Magic Number,The method contains a magic number: 127,302
commons-validator,org.apache.commons.validator,EmailTest,valueTest,Long Statement,The length of the statement "assertTrue(result.containsAction(ACTION)`() -> "Value " + info.getValue() + " ValidatorResult should contain the '"+ ACTION+ "' action.");" is 138.,384
commons-validator,org.apache.commons.validator,EmailTest,valueTest,Long Statement,The length of the statement "assertTrue(passed ? result.isValid(ACTION) : !result.isValid(ACTION)`() -> "Value " + info.getValue() + "ValidatorResult for the '"+ ACTION+ "' action should have "+ (passed ? "passed" : "failed")+ ".");" is 203.,384
commons-validator,org.apache.commons.validator,ExtensionTest,testOrder,Long Statement,The length of the statement "assertTrue(fieldFirstName.getKey().equals("firstName")`"firstName in " + FORM_KEY2 + " should be the first in the list");" is 121.,78
commons-validator,org.apache.commons.validator,ExtensionTest,testOrder,Magic Number,The method contains a magic number: 2,78
commons-validator,org.apache.commons.validator,ExtensionTest,testOrder,Magic Number,The method contains a magic number: 2,78
commons-validator,org.apache.commons.validator,ExtensionTest,testOverrideRule,Long Statement,The length of the statement "assertTrue(firstNameResult.field.getArg(0).getKey().equals(CHECK_MSG_KEY)`"First Name ValidatorResult for the '" + ACTION + "' action should have '"+ CHECK_MSG_KEY+ " as a key.");" is 179.,109
commons-validator,org.apache.commons.validator,ExtensionTest,testRequired,Long Statement,The length of the statement "assertTrue(firstNameResult.containsAction(ACTION)`"First Name ValidatorResult should contain the '" + ACTION + "' action.");" is 124.,140
commons-validator,org.apache.commons.validator,ExtensionTest,testRequired,Long Statement,The length of the statement "assertTrue(!firstNameResult.isValid(ACTION)`"First Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 126.,140
commons-validator,org.apache.commons.validator,ExtensionTest,testRequired,Long Statement,The length of the statement "assertTrue(lastNameResult.containsAction(ACTION)`"Last Name ValidatorResult should contain the '" + ACTION + "' action.");" is 122.,140
commons-validator,org.apache.commons.validator,ExtensionTest,testRequired,Long Statement,The length of the statement "assertTrue(!lastNameResult.isValid(ACTION)`"Last Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 124.,140
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstName,Long Statement,The length of the statement "assertTrue(firstNameResult.containsAction(ACTION)`"First Name ValidatorResult should contain the '" + ACTION + "' action.");" is 124.,176
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstName,Long Statement,The length of the statement "assertTrue(firstNameResult.isValid(ACTION)`"First Name ValidatorResult for the '" + ACTION + "' action should have passed.");" is 125.,176
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstName,Long Statement,The length of the statement "assertTrue(lastNameResult.containsAction(ACTION)`"Last Name ValidatorResult should contain the '" + ACTION + "' action.");" is 122.,176
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstName,Long Statement,The length of the statement "assertTrue(!lastNameResult.isValid(ACTION)`"Last Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 124.,176
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstNameBlank,Long Statement,The length of the statement "assertTrue(firstNameResult.containsAction(ACTION)`"First Name ValidatorResult should contain the '" + ACTION + "' action.");" is 124.,209
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstNameBlank,Long Statement,The length of the statement "assertTrue(!firstNameResult.isValid(ACTION)`"First Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 126.,209
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstNameBlank,Long Statement,The length of the statement "assertTrue(lastNameResult.containsAction(ACTION)`"Last Name ValidatorResult should contain the '" + ACTION + "' action.");" is 122.,209
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstNameBlank,Long Statement,The length of the statement "assertTrue(!lastNameResult.isValid(ACTION)`"Last Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 124.,209
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastName,Long Statement,The length of the statement "assertTrue(firstNameResult.containsAction(ACTION)`"First Name ValidatorResult should contain the '" + ACTION + "' action.");" is 124.,242
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastName,Long Statement,The length of the statement "assertTrue(!firstNameResult.isValid(ACTION)`"First Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 126.,242
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastName,Long Statement,The length of the statement "assertTrue(lastNameResult.containsAction(ACTION)`"Last Name ValidatorResult should contain the '" + ACTION + "' action.");" is 122.,242
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastName,Long Statement,The length of the statement "assertTrue(lastNameResult.isValid(ACTION)`"Last Name ValidatorResult for the '" + ACTION + "' action should have passed.");" is 123.,242
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastNameBlank,Long Statement,The length of the statement "assertTrue(firstNameResult.containsAction(ACTION)`"First Name ValidatorResult should contain the '" + ACTION + "' action.");" is 124.,276
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastNameBlank,Long Statement,The length of the statement "assertTrue(!firstNameResult.isValid(ACTION)`"First Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 126.,276
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastNameBlank,Long Statement,The length of the statement "assertTrue(lastNameResult.containsAction(ACTION)`"Last Name ValidatorResult should contain the '" + ACTION + "' action.");" is 122.,276
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastNameBlank,Long Statement,The length of the statement "assertTrue(!lastNameResult.isValid(ACTION)`"Last Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 124.,276
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredName,Long Statement,The length of the statement "assertTrue(firstNameResult.containsAction(ACTION)`"First Name ValidatorResult should contain the '" + ACTION + "' action.");" is 124.,309
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredName,Long Statement,The length of the statement "assertTrue(firstNameResult.isValid(ACTION)`"First Name ValidatorResult for the '" + ACTION + "' action should have passed.");" is 125.,309
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredName,Long Statement,The length of the statement "assertTrue(lastNameResult.containsAction(ACTION)`"Last Name ValidatorResult should contain the '" + ACTION + "' action.");" is 122.,309
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredName,Long Statement,The length of the statement "assertTrue(lastNameResult.isValid(ACTION)`"Last Name ValidatorResult for the '" + ACTION + "' action should have passed.");" is 123.,309
commons-validator,org.apache.commons.validator,FieldTest,testDefaultOnePosition,Magic Number,The method contains a magic number: 2,85
commons-validator,org.apache.commons.validator,FieldTest,testDefaultOnePosition,Magic Number,The method contains a magic number: 4,85
commons-validator,org.apache.commons.validator,FieldTest,testDefaultOnePosition,Magic Number,The method contains a magic number: 2,85
commons-validator,org.apache.commons.validator,FieldTest,testDefaultOnePosition,Magic Number,The method contains a magic number: 3,85
commons-validator,org.apache.commons.validator,FieldTest,testDefaultPositionImplied,Magic Number,The method contains a magic number: 3,103
commons-validator,org.apache.commons.validator,FieldTest,testDefaultPositionImplied,Magic Number,The method contains a magic number: 2,103
commons-validator,org.apache.commons.validator,FieldTest,testDefaultSomePositions,Magic Number,The method contains a magic number: 2,120
commons-validator,org.apache.commons.validator,FieldTest,testDefaultSomePositions,Magic Number,The method contains a magic number: 4,120
commons-validator,org.apache.commons.validator,FieldTest,testDefaultSomePositions,Magic Number,The method contains a magic number: 2,120
commons-validator,org.apache.commons.validator,FieldTest,testDefaultSomePositions,Magic Number,The method contains a magic number: 3,120
commons-validator,org.apache.commons.validator,FieldTest,testDefaultUsingPositions,Magic Number,The method contains a magic number: 2,139
commons-validator,org.apache.commons.validator,FieldTest,testDefaultUsingPositions,Magic Number,The method contains a magic number: 3,139
commons-validator,org.apache.commons.validator,FieldTest,testDefaultUsingPositions,Magic Number,The method contains a magic number: 2,139
commons-validator,org.apache.commons.validator,FieldTest,testOverridePositionImplied,Magic Number,The method contains a magic number: 3,166
commons-validator,org.apache.commons.validator,FieldTest,testOverridePositionImplied,Magic Number,The method contains a magic number: 2,166
commons-validator,org.apache.commons.validator,FieldTest,testOverridePositionImplied,Magic Number,The method contains a magic number: 3,166
commons-validator,org.apache.commons.validator,FieldTest,testOverridePositionImplied,Magic Number,The method contains a magic number: 2,166
commons-validator,org.apache.commons.validator,FieldTest,testOverridePositionImplied,Magic Number,The method contains a magic number: 2,166
commons-validator,org.apache.commons.validator,FieldTest,testOverrideSomePosition,Magic Number,The method contains a magic number: 4,196
commons-validator,org.apache.commons.validator,FieldTest,testOverrideSomePosition,Magic Number,The method contains a magic number: 2,196
commons-validator,org.apache.commons.validator,FieldTest,testOverrideSomePosition,Magic Number,The method contains a magic number: 3,196
commons-validator,org.apache.commons.validator,FieldTest,testOverrideSomePosition,Magic Number,The method contains a magic number: 4,196
commons-validator,org.apache.commons.validator,FieldTest,testOverrideSomePosition,Magic Number,The method contains a magic number: 2,196
commons-validator,org.apache.commons.validator,FieldTest,testOverrideSomePosition,Magic Number,The method contains a magic number: 3,196
commons-validator,org.apache.commons.validator,FieldTest,testOverrideSomePosition,Magic Number,The method contains a magic number: 2,196
commons-validator,org.apache.commons.validator,FieldTest,testOverrideSomePosition,Magic Number,The method contains a magic number: 3,196
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionA,Magic Number,The method contains a magic number: 3,231
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionA,Magic Number,The method contains a magic number: 3,231
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionB,Magic Number,The method contains a magic number: 3,255
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionB,Magic Number,The method contains a magic number: 4,255
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionB,Magic Number,The method contains a magic number: 2,255
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionB,Magic Number,The method contains a magic number: 3,255
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionB,Magic Number,The method contains a magic number: 4,255
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionB,Magic Number,The method contains a magic number: 2,255
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionB,Magic Number,The method contains a magic number: 3,255
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,localeTest,Long Statement,The length of the statement "assertTrue(hResultValues.get("byte") instanceof Byte`() -> "Expecting byte result to be an instance of Byte for locale: " + locale);" is 132.,48
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,localeTest,Long Statement,The length of the statement "assertTrue(hResultValues.get("short") instanceof Short`() -> "Expecting short result to be an instance of Short for locale: " + locale);" is 136.,48
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,localeTest,Long Statement,The length of the statement "assertTrue(hResultValues.get("integer") instanceof Integer`() -> "Expecting integer result to be an instance of Integer for locale: " + locale);" is 144.,48
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,localeTest,Long Statement,The length of the statement "assertTrue(hResultValues.get("long") instanceof Long`() -> "Expecting long result to be an instance of Long for locale: " + locale);" is 132.,48
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,localeTest,Long Statement,The length of the statement "assertTrue(hResultValues.get("float") instanceof Float`() -> "Expecting float result to be an instance of Float for locale: " + locale);" is 136.,48
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,localeTest,Long Statement,The length of the statement "assertTrue(hResultValues.get("double") instanceof Double`() -> "Expecting double result to be an instance of Double for locale: " + locale);" is 140.,48
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,localeTest,Long Statement,The length of the statement "assertTrue(hResultValues.get("date") instanceof Date`() -> "Expecting date result to be an instance of Date for locale: " + locale);" is 132.,48
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,testFRLocale,Magic Number,The method contains a magic number: 12,101
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,testFRLocale,Magic Number,The method contains a magic number: 129,101
commons-validator,org.apache.commons.validator,GenericValidatorImpl,validateRequiredIf,Complex Method,Cyclomatic complexity of the method is 16,164
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 4,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 5,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 6,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 7,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 4,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 5,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 6,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 7,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 4,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 2,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 5,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 2,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 6,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 2,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 7,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Magic Number,The method contains a magic number: 2,29
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 5,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 6,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 7,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 8,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 5,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 6,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 7,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 8,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 5,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 2,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 6,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 2,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 7,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 2,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 8,51
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Magic Number,The method contains a magic number: 2,51
commons-validator,org.apache.commons.validator,LocaleTest,valueTest,Long Parameter List,The method has 5 parameters. ,136
commons-validator,org.apache.commons.validator,MultipleConfigFilesTest,setUp,Long Statement,The length of the statement "final InputStream[] streams={this.getClass().getResourceAsStream("MultipleConfigFilesTest-1-config.xml")`this.getClass().getResourceAsStream("MultipleConfigFilesTest-2-config.xml")};" is 182.,50
commons-validator,org.apache.commons.validator,MultipleTest,testBothBlank,Long Statement,The length of the statement "assertTrue(firstNameResult.containsAction(ACTION)`() -> "First Name ValidatorResult should contain the '" + ACTION + "' action.");" is 130.,57
commons-validator,org.apache.commons.validator,MultipleTest,testBothBlank,Long Statement,The length of the statement "assertTrue(!firstNameResult.isValid(ACTION)`() -> "First Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 132.,57
commons-validator,org.apache.commons.validator,MultipleTest,testBothBlank,Long Statement,The length of the statement "assertTrue(lastNameResult.containsAction(ACTION)`() -> "Last Name ValidatorResult should contain the '" + ACTION + "' action.");" is 128.,57
commons-validator,org.apache.commons.validator,MultipleTest,testBothBlank,Long Statement,The length of the statement "assertTrue(!lastNameResult.isValid(ACTION)`() -> "Last Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 130.,57
commons-validator,org.apache.commons.validator,MultipleTest,testFailingFirstDependentValidator,Long Statement,The length of the statement "assertTrue(middleNameResult.containsAction("required")`"Middle Name ValidatorResult should contain the 'required' action.");" is 124.,94
commons-validator,org.apache.commons.validator,MultipleTest,testFailingFirstDependentValidator,Long Statement,The length of the statement "assertTrue(!middleNameResult.isValid("required")`"Middle Name ValidatorResult for the 'required' action should have failed");" is 125.,94
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsFailingMain,Long Statement,The length of the statement "assertTrue(middleNameResult.containsAction("required")`"Middle Name ValidatorResult should contain the 'required' action.");" is 124.,151
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsFailingMain,Long Statement,The length of the statement "assertTrue(middleNameResult.isValid("required")`"Middle Name ValidatorResult for the 'required' action should have passed");" is 124.,151
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsFailingMain,Long Statement,The length of the statement "assertTrue(middleNameResult.containsAction("positive")`"Middle Name ValidatorResult should contain the 'positive' action.");" is 124.,151
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsFailingMain,Long Statement,The length of the statement "assertTrue(!middleNameResult.isValid("positive")`"Middle Name ValidatorResult for the 'positive' action should have failed");" is 125.,151
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsPassingMain,Long Statement,The length of the statement "assertTrue(middleNameResult.containsAction("required")`"Middle Name ValidatorResult should contain the 'required' action.");" is 124.,188
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsPassingMain,Long Statement,The length of the statement "assertTrue(middleNameResult.isValid("required")`"Middle Name ValidatorResult for the 'required' action should have passed");" is 124.,188
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsPassingMain,Long Statement,The length of the statement "assertTrue(middleNameResult.containsAction("positive")`"Middle Name ValidatorResult should contain the 'positive' action.");" is 124.,188
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsPassingMain,Long Statement,The length of the statement "assertTrue(middleNameResult.isValid("positive")`"Middle Name ValidatorResult for the 'positive' action should have passed");" is 124.,188
commons-validator,org.apache.commons.validator,MultipleTest,testRequiredFirstNameBlankLastNameShort,Long Statement,The length of the statement "assertTrue(firstNameResult.containsAction(ACTION)`() -> "First Name ValidatorResult should contain the '" + ACTION + "' action.");" is 130.,225
commons-validator,org.apache.commons.validator,MultipleTest,testRequiredFirstNameBlankLastNameShort,Long Statement,The length of the statement "assertTrue(!firstNameResult.isValid(ACTION)`() -> "First Name ValidatorResult for the '" + ACTION + "' action should have failed.");" is 132.,225
