Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidatorTest,testFormat,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidatorTest,testLocaleInvalid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidatorTest,testLocaleValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidatorTest,testPatternInvalid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidatorTest,testPatternValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidatorTest,testSerialization,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidatorTest,testSerialization,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testFormat,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testFormatType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testInvalidNotStrict,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testInvalidStrict,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testRangeMinMax,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testSerialization,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testSerialization,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testValidateLocale,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testValidateMinMax,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testValidateMinMax,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testValidNotStrict,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,testValidStrict,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,testBigDecimalRangeMinMax,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,testBigDecimalValidatorMethods,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,testBigIntegerRangeMinMax,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,testBigIntegerValidatorMethods,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,testByteRangeMinMax,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,testByteValidatorMethods,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,testAdjustToTimeZone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,testCalendarValidatorMethods,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 21
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,testCompare,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 37
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,testCompare,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,testDateTimeStyle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,testFormat,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,testCheckDigit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,testConstructors,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 24
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,testLength,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 37
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,testNoInput,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,testRegex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,testValidator294Part1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testAddAllowedCardType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testAmexOption,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testAmexValidator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 29
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testArrayConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testDinersOption,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testDinersValidator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 44
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testDiscoverOption,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testDiscoverValidator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 39
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testDisjointRange,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testGeneric,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testIsValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testMastercardOption,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testMastercardUsingSeparators,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testMastercardValidator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 35
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testRangeGenerator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testRangeGeneratorNoLuhn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testValidLength,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,testVisaOption,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
